RXDK-360 samples build report
total 26  pass 0  fail 26

== FAIL ==
Release          AdvancedCommandBuffers         C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(66,5): error : clang: compile failed for RecordCommandBuffer.cpp [D:\Git\RXDK360-Samples\Graphics\AdvancedCommandBuffers\AdvancedCommandBuffers.vcxproj]
Release          ArcadeSample                   C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(66,5): error : clang: compile failed for App.cpp [D:\Git\RXDK360-Samples\System\ArcadeSample\ArcadeSample.vcxproj]
Release          ASFWriter                      C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(104,5): error : unresolved symbols (not kernel imports): _ZN22AsfWriterPropertyValueC1Ev, _ZN9CXAPOBase14LockForProcessEjPK37XAPO_LOCKFORPROCESS_BUFFER_PARAMETERSjS2_, _ZN22AsfWriterPropertyValue5ClearEv, _ZN9CXAPOBase16UnlockForProcessEv, _ZN19CXAPOParametersBase12BeginProcessEv, _ZN19CXAPOParametersBase10EndProcessEv, _ZN19CXAPOParametersBaseD2Ev, _ZN19CXAPOParametersBaseC2EPK28XAPO_REGISTRATION_PROPERTIESPhji, _ZN9CXAPOBase25GetRegistrationPropertiesEPP28XAPO_REGISTRATION_PROPERTIES, _ZN9CXAPOBase22IsInputFormatSupportedEPK13tWAVEFORMATEXS2_PPS0_, _ZN9CXAPOBase23IsOutputFormatSupportedEPK13tWAVEFORMATEXS2_PPS0_, _ZN9CXAPOBase21ValidateFormatDefaultEP13tWAVEFORMATEXi, _ZN19CXAPOParametersBase13SetParametersEPKvj, _ZN19CXAPOParametersBase13GetParametersEPvj, _ZThn32_N19CXAPOParametersBase13SetParametersEPKvj, _ZThn32_N19CXAPOParametersBase13GetParametersEPvj, _ZTI19CXAPOParametersBase [D:\Git\RXDK360-Samples\Graphics\ASFWriter\ASFWriter.vcxproj]
Release          CubicBezierPatch               C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(66,5): error : clang: compile failed for CubicBezierPatch.cpp [D:\Git\RXDK360-Samples\Graphics\CubicBezierPatch\CubicBezierPatch.vcxproj]
Release          DrivingRawFilters              D:\Git\RXDK360-Samples\NaturalInput\DrivingRawFilters\TurboFilter.h(51,5): error : unknown type name 'NUI_SKELETON_POSITION_CONFIDENCE'; did you mean 'NUI_SKELETON_POSITION_INDEX'? [D:\Git\RXDK360-Samples\NaturalInput\DrivingRawFilters\DrivingRawFilters.vcxproj]
Release          FastBlockCompress              D:\Git\RXDK360-Samples\Graphics\FastBlockCompress\FastBlockCompressVMX.cpp(1857,5): error : use of undeclared identifier 'vAnchorTest' [D:\Git\RXDK360-Samples\Graphics\FastBlockCompress\FastBlockCompress.vcxproj]
Release          FastCPU                        D:\Git\RXDK360-Samples\System\FastCPU\FastCPU.cpp(464,22): error : no viable conversion from 'D3DXVECTOR3' (aka 'struct D3DXVECTOR3') to 'XMFLOAT3' (aka 'struct _XMFLOAT3') [D:\Git\RXDK360-Samples\System\FastCPU\FastCPU.vcxproj]
Release          FastUntile                     C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(104,5): error : unresolved symbols (not kernel imports): __stvx_volatile, __storevolatiledoublewordbytereverse [D:\Git\RXDK360-Samples\Graphics\FastUntile\FastUntile.vcxproj]
Release          FriendMatchmaking              D:\Git\RXDK360-Samples\Online\FriendMatchmaking\FriendMatchmaking.cpp(1412,18): error : right operand to ? is void, but left operand is of type 'int' [D:\Git\RXDK360-Samples\Online\FriendMatchmaking\FriendMatchmaking.vcxproj]
Release          HandOpenClosed                 C:\Program Files\RXDK-360\modern\include\xbox\XStudioApi.h(148,20): error : field has incomplete type 'NUI_IMAGE_TYPE' (aka 'enum _NUI_IMAGE_TYPE') [D:\Git\RXDK360-Samples\NaturalInput\HandOpenClosed\HandOpenClosed.vcxproj]
Release          KickBoxing                     D:\Git\RXDK360-Samples\NaturalInput\KickBoxing\GestureDetectorTrainer\GenerateLabeledExamples\GenerateLabeledExamples.cpp(47,5): error : unknown type name 'GestureDetectorTrainer'; did you mean 'GestureDetector'? [D:\Git\RXDK360-Samples\NaturalInput\KickBoxing\KickBoxing.vcxproj]
Release          MicrocodeMemExport             C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(66,5): error : clang: compile failed for MicrocodeMemExport.cpp [D:\Git\RXDK360-Samples\Graphics\MicrocodeMemExport\MicrocodeMemExport.vcxproj]
Release          QNet                           C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(66,5): error : clang: compile failed for QNet.cpp [D:\Git\RXDK360-Samples\Online\QNet\QNet.vcxproj]
Release          SceneViewer2                   C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(104,5): error : ld.lld: relocation refers to a symbol in a discarded section: FXLEffect_GetParameterHandle [D:\Git\RXDK360-Samples\Graphics\SceneViewer2\SceneViewer2.vcxproj]
Release          Sessions                       C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(104,5): error : unresolved symbols (not kernel imports): XShowCommunitySessionsUI [D:\Git\RXDK360-Samples\Online\Sessions\Sessions.vcxproj]
Release          SimpleGestureDetection         C:\Program Files\RXDK-360\modern\include\xbox\XStudioApi.h(148,20): error : field has incomplete type 'NUI_IMAGE_TYPE' (aka 'enum _NUI_IMAGE_TYPE') [D:\Git\RXDK360-Samples\NaturalInput\SimpleGestureDetection\SimpleGestureDetection.vcxproj]
Release          SimplePartyExperience          C:\Program Files\Microsoft Visual Studio\18\Enterprise\MSBuild\Microsoft\VC\v180\Platforms\Xbox 360\PlatformToolsets\clang\Toolset.targets(104,5): error : unresolved symbols (not kernel imports): WMVideoDecClose, WMVideoDecReset, WMVideoDecDecodeSequenceHeader, ?EMBEncSessionCreate@@YAPAXH@Z, ?EMBEncSessionSetRTC@@YA?AW4EMBENC_RETURNCODE@@PAX@Z, ?EMBEncInit@@YA?AW4EMBENC_RETURNCODE@@PAXW4tagCodingMode_WMV@@HHNNNHHHHHHKPAK_N33HHPADHH3@Z, ?EMBEncGetExtendedFormat@@YA?AW4EMBENC_RETURNCODE@@PAXPADPAH@Z, ?EMBEncSessionDelete@@YA?AW4EMBENC_RETURNCODE@@PAX@Z, ?EMBEncRTCSetNetworkMetrics@@YA?AW4EMBENC_RETURNCODE@@PAX_JN@Z, ?EMBEncRTCChangeBitRate@@YA?AW4EMBENC_RETURNCODE@@PAXNN@Z, ?EMBEncRTCChangeFrameRate@@YA?AW4EMBENC_RETURNCODE@@PAXN@Z, ?EMBEncEncodeAndLock@@YA?AW4EMBENC_RETURNCODE@@PAXPAUtagEMBBITMAPINFOHEADER@@PAD2PAH12_N_J44H433PA_JPA_N@Z, ?EMBEncGetPredType@@YA?AW4EMBENC_RETURNCODE@@PAXPAW4VOPpredType@@@Z, ?EMBQueryErrorRecoveryFrameType@@YA?AW4EMBENC_RETURNCODE@@PAXPAE@Z, WMVideoDecInit, WMVideoDecSetErrorRecoveryFrameType, WMVideoDecDecodeData, WMVideoDecPlanarYUVGetOutput [D:\Git\RXDK360-Samples\Online\SimplePartyExperience\SimplePartyExperience.vcxproj]
Release          SimpleSpeechRecognition        D:\Git\RXDK360-Samples\NaturalInput\SimpleSpeechRecognition\GrammarFileHelper.cpp(275,11): error : a type specifier is required for all declarations [D:\Git\RXDK360-Samples\NaturalInput\SimpleSpeechRecognition\SimpleSpeechRecognition.vcxproj]
Release          SimpleTexture                  C:\Program Files\RXDK-360\modern\include\xbox\mbstring.h(43,23): error : typedef redefinition with different types ('struct _iobuf' vs '__FILE' (aka 'struct __file')) [D:\Git\RXDK360-Samples\Graphics\SimpleTexture\SimpleTexture.vcxproj]
Release          SpeechRetainAudio              D:\Git\RXDK360-Samples\NaturalInput\SpeechRetainAudio\SpeechRetainAudio.cpp(56,14): error : a type specifier is required for all declarations [D:\Git\RXDK360-Samples\NaturalInput\SpeechRetainAudio\SpeechRetainAudio.vcxproj]
